id,assess,starttime,finishtime
1,2,12-Sep-10,12-Sep-10
2,2,12-Sep-10,12-Sep-10
3,2,15-Sep-10,15-Sep-10
4,2,14-Sep-10,14-Sep-10
5,2,12-Sep-10,12-Sep-10
6,2,14-Sep-10,14-Sep-10
7,2,12-Sep-10,12-Sep-10
8,2,12-Sep-10,12-Sep-10
9,2,12-Sep-10,12-Sep-10
10,2,13-Sep-10,13-Sep-10
11,2,12-Sep-10,12-Sep-10
12,2,12-Sep-10,12-Sep-10
13,2,13-Sep-10,14-Sep-10
14,2,13-Sep-10,13-Sep-10
15,2,12-Sep-10,12-Sep-10
16,2,16-Sep-10,16-Sep-10
17,2,12-Sep-10,12-Sep-10
18,2,13-Sep-10,13-Sep-10
19,2,12-Sep-10,12-Sep-10
20,2,12-Sep-10,12-Sep-10
21,2,12-Sep-10,12-Sep-10
22,2,12-Sep-10,12-Sep-10
23,2,16-Sep-10,16-Sep-10
24,2,12-Sep-10,12-Sep-10
25,2,12-Sep-10,12-Sep-10
26,2,12-Sep-10,12-Sep-10
27,2,12-Sep-10,12-Sep-10
28,2,12-Sep-10,12-Sep-10
30,2,12-Sep-10,12-Sep-10
31,2,14-Sep-10,14-Sep-10
32,2,14-Sep-10,14-Sep-10
33,2,12-Sep-10,12-Sep-10
34,2,12-Sep-10,12-Sep-10
35,2,14-Sep-10,14-Sep-10
36,2,12-Sep-10,12-Sep-10
37,2,13-Sep-10,13-Sep-10
38,2,14-Sep-10,14-Sep-10
39,2,12-Sep-10,12-Sep-10
40,2,12-Sep-10,12-Sep-10
41,2,13-Sep-10,13-Sep-10
42,2,12-Sep-10,12-Sep-10
43,2,12-Sep-10,12-Sep-10
44,2,12-Sep-10,12-Sep-10
45,2,12-Sep-10,13-Sep-10
46,2,14-Sep-10,14-Sep-10
47,2,15-Sep-10,15-Sep-10
48,2,12-Sep-10,12-Sep-10
49,2,12-Sep-10,14-Sep-10
50,2,12-Sep-10,12-Sep-10
51,2,12-Sep-10,12-Sep-10
52,2,12-Sep-10,12-Sep-10
53,2,13-Sep-10,13-Sep-10
54,2,12-Sep-10,12-Sep-10
55,2,12-Sep-10,12-Sep-10
56,2,12-Sep-10,12-Sep-10
57,2,13-Sep-10,13-Sep-10
58,2,,
59,2,12-Sep-10,12-Sep-10
60,2,12-Sep-10,12-Sep-10
61,2,12-Sep-10,12-Sep-10
62,2,12-Sep-10,12-Sep-10
63,2,12-Sep-10,14-Sep-10
64,2,12-Sep-10,12-Sep-10
65,2,12-Sep-10,12-Sep-10
66,2,12-Sep-10,12-Sep-10
67,2,12-Sep-10,12-Sep-10
68,2,12-Sep-10,12-Sep-10
69,2,12-Sep-10,12-Sep-10
70,2,12-Sep-10,12-Sep-10
71,2,14-Sep-10,14-Sep-10
72,2,14-Sep-10,14-Sep-10
73,2,12-Sep-10,12-Sep-10
74,2,12-Sep-10,12-Sep-10
75,2,14-Sep-10,14-Sep-10
76,2,13-Sep-10,13-Sep-10
77,2,12-Sep-10,12-Sep-10
78,2,12-Sep-10,12-Sep-10
79,2,12-Sep-10,14-Sep-10
80,2,12-Sep-10,12-Sep-10
81,2,14-Sep-10,14-Sep-10
82,2,12-Sep-10,12-Sep-10
83,2,14-Sep-10,14-Sep-10
84,2,12-Sep-10,12-Sep-10
85,2,14-Sep-10,14-Sep-10
86,2,12-Sep-10,12-Sep-10
87,2,13-Sep-10,13-Sep-10
88,2,12-Sep-10,12-Sep-10
89,2,12-Sep-10,12-Sep-10
90,2,14-Sep-10,14-Sep-10
91,2,13-Sep-10,13-Sep-10
92,2,14-Sep-10,14-Sep-10
93,2,13-Sep-10,13-Sep-10
94,2,12-Sep-10,12-Sep-10
95,2,,
96,2,12-Sep-10,14-Sep-10
97,2,12-Sep-10,12-Sep-10
98,2,14-Sep-10,14-Sep-10
99,2,12-Sep-10,12-Sep-10
100,2,12-Sep-10,12-Sep-10
101,2,12-Sep-10,15-Sep-10
102,2,12-Sep-10,12-Sep-10
103,2,12-Sep-10,14-Sep-10
104,2,14-Sep-10,14-Sep-10
105,2,12-Sep-10,12-Sep-10
106,2,14-Sep-10,14-Sep-10
107,2,12-Sep-10,12-Sep-10
108,2,12-Sep-10,12-Sep-10
109,2,14-Sep-10,14-Sep-10
110,2,,
111,2,12-Sep-10,12-Sep-10
112,2,12-Sep-10,12-Sep-10
113,2,14-Sep-10,14-Sep-10
114,2,12-Sep-10,12-Sep-10
115,2,12-Sep-10,12-Sep-10
116,2,12-Sep-10,12-Sep-10
117,2,12-Sep-10,13-Sep-10
118,2,12-Sep-10,12-Sep-10
119,2,12-Sep-10,12-Sep-10
120,2,14-Sep-10,14-Sep-10
122,2,12-Sep-10,12-Sep-10
123,2,,
124,2,14-Sep-10,14-Sep-10
125,2,12-Sep-10,12-Sep-10
126,2,14-Sep-10,14-Sep-10
127,2,12-Sep-10,12-Sep-10
128,2,14-Sep-10,15-Sep-10
129,2,14-Sep-10,14-Sep-10
130,2,12-Sep-10,12-Sep-10
131,2,,
132,2,12-Sep-10,12-Sep-10
134,2,12-Sep-10,12-Sep-10
135,2,12-Sep-10,12-Sep-10
136,2,13-Sep-10,13-Sep-10
137,2,12-Sep-10,12-Sep-10
138,2,12-Sep-10,12-Sep-10
140,2,12-Sep-10,14-Sep-10
141,2,14-Sep-10,14-Sep-10
142,2,12-Sep-10,12-Sep-10
144,2,12-Sep-10,12-Sep-10
145,2,12-Sep-10,12-Sep-10
146,2,12-Sep-10,12-Sep-10
147,2,14-Sep-10,14-Sep-10
148,2,12-Sep-10,12-Sep-10
149,2,12-Sep-10,12-Sep-10
150,2,12-Sep-10,12-Sep-10
151,2,14-Sep-10,14-Sep-10
152,2,14-Sep-10,14-Sep-10
153,2,14-Sep-10,14-Sep-10
154,2,12-Sep-10,12-Sep-10
155,2,12-Sep-10,14-Sep-10
156,2,12-Sep-10,12-Sep-10
157,2,12-Sep-10,12-Sep-10
158,2,12-Sep-10,12-Sep-10
159,2,12-Sep-10,12-Sep-10
160,2,12-Sep-10,12-Sep-10
161,2,13-Sep-10,13-Sep-10
162,2,12-Sep-10,12-Sep-10
163,2,12-Sep-10,12-Sep-10
164,2,12-Sep-10,12-Sep-10
166,2,12-Sep-10,12-Sep-10
167,2,12-Sep-10,12-Sep-10
168,2,12-Sep-10,12-Sep-10
169,2,12-Sep-10,12-Sep-10
170,2,12-Sep-10,12-Sep-10
172,2,14-Sep-10,14-Sep-10
173,2,13-Sep-10,13-Sep-10
174,2,14-Sep-10,14-Sep-10
175,2,13-Sep-10,13-Sep-10
176,2,14-Sep-10,14-Sep-10
177,2,12-Sep-10,12-Sep-10
178,2,12-Sep-10,12-Sep-10
179,2,13-Sep-10,14-Sep-10
180,2,14-Sep-10,14-Sep-10
181,2,12-Sep-10,12-Sep-10
183,2,12-Sep-10,12-Sep-10
184,2,12-Sep-10,12-Sep-10
185,2,12-Sep-10,12-Sep-10
186,2,14-Sep-10,14-Sep-10
187,2,12-Sep-10,12-Sep-10
189,2,12-Sep-10,15-Sep-10
190,2,12-Sep-10,12-Sep-10
191,2,14-Sep-10,14-Sep-10
192,2,12-Sep-10,12-Sep-10
193,2,12-Sep-10,12-Sep-10
194,2,14-Sep-10,14-Sep-10
195,2,12-Sep-10,14-Sep-10
197,2,12-Sep-10,12-Sep-10
198,2,14-Sep-10,14-Sep-10
199,2,12-Sep-10,12-Sep-10
200,2,12-Sep-10,14-Sep-10
201,2,14-Sep-10,14-Sep-10
202,2,12-Sep-10,12-Sep-10
203,2,14-Sep-10,14-Sep-10
205,2,12-Sep-10,12-Sep-10
206,2,13-Sep-10,13-Sep-10
207,2,12-Sep-10,12-Sep-10
208,2,12-Sep-10,12-Sep-10
209,2,12-Sep-10,12-Sep-10
210,2,12-Sep-10,12-Sep-10
211,2,12-Sep-10,15-Sep-10
212,2,13-Sep-10,13-Sep-10
213,2,13-Sep-10,13-Sep-10
214,2,12-Sep-10,12-Sep-10
215,2,12-Sep-10,12-Sep-10
216,2,12-Sep-10,14-Sep-10
217,2,12-Sep-10,12-Sep-10
218,2,12-Sep-10,12-Sep-10
219,2,12-Sep-10,12-Sep-10
220,2,12-Sep-10,12-Sep-10
221,2,12-Sep-10,12-Sep-10
222,2,12-Sep-10,12-Sep-10
223,2,12-Sep-10,12-Sep-10
224,2,12-Sep-10,12-Sep-10
225,2,12-Sep-10,12-Sep-10
226,2,12-Sep-10,12-Sep-10
227,2,12-Sep-10,12-Sep-10
228,2,12-Sep-10,12-Sep-10
229,2,12-Sep-10,12-Sep-10
230,2,12-Sep-10,12-Sep-10
231,2,14-Sep-10,14-Sep-10
233,2,12-Sep-10,12-Sep-10
234,2,12-Sep-10,12-Sep-10
235,2,13-Sep-10,15-Sep-10
236,2,12-Sep-10,12-Sep-10
237,2,12-Sep-10,12-Sep-10
238,2,14-Sep-10,14-Sep-10
239,2,12-Sep-10,12-Sep-10
240,2,14-Sep-10,14-Sep-10
241,2,14-Sep-10,14-Sep-10
242,2,12-Sep-10,12-Sep-10
243,2,12-Sep-10,12-Sep-10
244,2,12-Sep-10,12-Sep-10
245,2,12-Sep-10,12-Sep-10
246,2,13-Sep-10,13-Sep-10
247,2,14-Sep-10,14-Sep-10
248,2,12-Sep-10,12-Sep-10
249,2,12-Sep-10,12-Sep-10
250,2,12-Sep-10,12-Sep-10
251,2,12-Sep-10,14-Sep-10
252,2,12-Sep-10,12-Sep-10
253,2,12-Sep-10,12-Sep-10
254,2,12-Sep-10,12-Sep-10
255,2,12-Sep-10,12-Sep-10
256,2,14-Sep-10,14-Sep-10
257,2,12-Sep-10,12-Sep-10
258,2,12-Sep-10,12-Sep-10
259,2,12-Sep-10,12-Sep-10
260,2,12-Sep-10,12-Sep-10
261,2,12-Sep-10,12-Sep-10
263,2,12-Sep-10,12-Sep-10
264,2,12-Sep-10,16-Sep-10
265,2,14-Sep-10,14-Sep-10
266,2,12-Sep-10,12-Sep-10
267,2,12-Sep-10,12-Sep-10
268,2,15-Sep-10,15-Sep-10
269,2,12-Sep-10,12-Sep-10
270,2,12-Sep-10,12-Sep-10
271,2,14-Sep-10,14-Sep-10
273,2,12-Sep-10,12-Sep-10
274,2,14-Sep-10,14-Sep-10
275,2,12-Sep-10,12-Sep-10
276,2,12-Sep-10,12-Sep-10
277,2,12-Sep-10,12-Sep-10
278,2,13-Sep-10,13-Sep-10
279,2,14-Sep-10,14-Sep-10
280,2,12-Sep-10,12-Sep-10
281,2,12-Sep-10,13-Sep-10
282,2,12-Sep-10,12-Sep-10
284,2,12-Sep-10,12-Sep-10
286,2,12-Sep-10,13-Sep-10
288,2,12-Sep-10,12-Sep-10
289,2,13-Sep-10,15-Sep-10
290,2,12-Sep-10,12-Sep-10
291,2,12-Sep-10,12-Sep-10
292,2,14-Sep-10,14-Sep-10
293,2,14-Sep-10,14-Sep-10
294,2,12-Sep-10,12-Sep-10
295,2,12-Sep-10,12-Sep-10
296,2,12-Sep-10,12-Sep-10
297,2,12-Sep-10,12-Sep-10
302,2,12-Sep-10,12-Sep-10
303,2,12-Sep-10,12-Sep-10
305,2,12-Sep-10,12-Sep-10
306,2,12-Sep-10,12-Sep-10
307,2,13-Sep-10,13-Sep-10
308,2,12-Sep-10,12-Sep-10
309,2,12-Sep-10,12-Sep-10
