id,assess,starttime,finishtime
311,1,7-Sep-11,7-Sep-11
312,1,6-Sep-11,6-Sep-11
313,1,6-Sep-11,6-Sep-11
314,1,6-Sep-11,6-Sep-11
315,1,6-Sep-11,6-Sep-11
316,1,10-Sep-11,10-Sep-11
317,1,6-Sep-11,6-Sep-11
318,1,6-Sep-11,6-Sep-11
319,1,6-Sep-11,6-Sep-11
320,1,6-Sep-11,6-Sep-11
321,1,8-Sep-11,8-Sep-11
322,1,7-Sep-11,7-Sep-11
323,1,10-Sep-11,10-Sep-11
324,1,6-Sep-11,6-Sep-11
325,1,6-Sep-11,6-Sep-11
326,1,6-Sep-11,6-Sep-11
327,1,7-Sep-11,7-Sep-11
328,1,6-Sep-11,6-Sep-11
329,1,6-Sep-11,6-Sep-11
330,1,6-Sep-11,6-Sep-11
331,1,6-Sep-11,6-Sep-11
332,1,6-Sep-11,6-Sep-11
333,1,10-Sep-11,11-Sep-11
334,1,8-Sep-11,8-Sep-11
335,1,6-Sep-11,6-Sep-11
336,1,6-Sep-11,6-Sep-11
337,1,8-Sep-11,8-Sep-11
338,1,6-Sep-11,6-Sep-11
339,1,6-Sep-11,6-Sep-11
340,1,6-Sep-11,6-Sep-11
341,1,8-Sep-11,8-Sep-11
342,1,6-Sep-11,6-Sep-11
343,1,,
344,1,6-Sep-11,6-Sep-11
345,1,7-Sep-11,7-Sep-11
346,1,6-Sep-11,6-Sep-11
347,1,7-Sep-11,7-Sep-11
348,1,7-Sep-11,7-Sep-11
349,1,11-Sep-11,11-Sep-11
350,1,7-Sep-11,7-Sep-11
351,1,7-Sep-11,7-Sep-11
352,1,6-Sep-11,6-Sep-11
353,1,6-Sep-11,6-Sep-11
354,1,6-Sep-11,6-Sep-11
355,1,6-Sep-11,6-Sep-11
356,1,6-Sep-11,6-Sep-11
357,1,6-Sep-11,6-Sep-11
358,1,8-Sep-11,8-Sep-11
359,1,6-Sep-11,6-Sep-11
360,1,6-Sep-11,6-Sep-11
361,1,6-Sep-11,6-Sep-11
362,1,6-Sep-11,6-Sep-11
363,1,6-Sep-11,6-Sep-11
364,1,11-Sep-11,11-Sep-11
365,1,6-Sep-11,6-Sep-11
366,1,6-Sep-11,6-Sep-11
367,1,,
368,1,6-Sep-11,6-Sep-11
369,1,7-Sep-11,7-Sep-11
370,1,8-Sep-11,8-Sep-11
371,1,7-Sep-11,7-Sep-11
372,1,6-Sep-11,6-Sep-11
373,1,6-Sep-11,6-Sep-11
374,1,6-Sep-11,6-Sep-11
375,1,7-Sep-11,7-Sep-11
376,1,6-Sep-11,6-Sep-11
377,1,6-Sep-11,6-Sep-11
378,1,6-Sep-11,6-Sep-11
379,1,10-Sep-11,10-Sep-11
380,1,,
381,1,6-Sep-11,6-Sep-11
