id,assess,drive,funseek,responsiv,bis,bas,basbis1,basbis2,basbis3,basbis4,basbis5,basbis6,basbis7,basbis8,basbis9,basbis10,basbis11,basbis12,basbis13,basbis14,basbis15,basbis16,basbis17,basbis18,basbis19,basbis20,basbis21,basbis22,basbis23,basbis24
171,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,1,9,12,15,19,36,3,3,2,3,3,3,3,2,2,4,2,3,2,2,2,1,3,4,4,3,2,4,3,3
173,1,15,11,19,14,45,4,1,4,4,4,4,4,1,4,3,3,4,2,4,1,2,3,3,3,3,3,2,4,3
174,1,11,12,20,25,43,3,3,3,4,4,4,4,4,2,3,1,3,4,4,2,3,4,4,4,3,3,3,4,4
175,1,13,9,18,25,40,3,4,4,4,2,4,4,4,4,3,2,3,2,3,1,3,4,4,4,3,2,4,3,4
176,1,12,15,19,24,46,4,3,3,4,4,2,4,3,3,4,4,3,4,4,3,3,4,3,4,4,3,3,4,4
177,1,6,10,10,13,26,2,1,2,3,4,1,1,1,1,3,1,2,1,2,1,2,4,2,3,2,1,2,2,3
178,1,12,10,15,25,37,3,3,4,3,3,3,4,4,3,2,3,3,4,3,2,3,4,3,4,3,2,3,2,4
179,1,12,12,19,23,43,3,3,4,4,4,4,4,3,4,3,3,2,4,4,2,3,4,4,4,3,2,2,3,4
180,1,14,11,17,11,42,4,1,4,4,4,2,4,1,4,3,3,3,2,3,1,1,4,3,2,3,3,2,3,2
181,1,11,10,20,27,41,3,4,3,4,3,4,4,4,3,3,1,3,4,4,1,4,4,4,4,3,2,3,4,4
182,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,1,15,13,18,28,46,4,4,4,4,4,4,3,4,4,3,3,4,4,4,2,4,4,3,4,4,3,4,4,4
184,1,10,10,19,22,39,4,2,2,4,3,4,4,4,3,2,3,3,4,4,2,3,3,4,4,3,2,2,3,3
185,1,11,13,18,23,42,3,4,2,4,3,3,3,3,3,3,1,3,4,4,3,3,3,4,4,4,3,3,3,2
186,1,14,13,20,20,47,3,2,4,4,4,4,4,2,4,2,3,3,4,4,3,2,3,4,4,4,3,3,4,3
187,1,9,12,17,27,38,2,4,2,3,3,4,4,4,2,3,1,3,4,4,3,4,4,3,4,3,2,3,3,4
188,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,1,16,15,19,23,50,3,4,4,4,4,3,3,1,4,4,3,4,2,4,3,4,3,4,4,4,4,4,4,4
190,1,10,11,18,26,39,3,4,3,3,3,3,3,4,2,3,3,3,4,4,2,3,4,4,4,3,2,3,4,4
191,1,16,16,20,18,52,3,3,4,4,4,3,4,3,4,4,2,4,3,4,4,2,3,4,4,4,4,1,4,2
192,1,11,14,17,25,42,4,3,3,3,4,3,4,3,2,4,3,3,4,3,3,4,4,3,4,3,3,3,4,4
193,1,16,16,20,19,52,4,2,4,4,4,4,4,4,4,4,3,4,4,4,4,2,4,4,3,4,4,1,4,3
194,1,13,12,20,27,45,4,4,4,4,4,4,4,4,4,4,2,3,4,4,2,4,4,4,4,2,2,3,4,4
195,1,10,12,19,27,41,4,4,3,3,4,4,4,4,3,3,2,2,4,4,2,4,4,4,4,3,2,3,4,4
196,1,9,10,20,25.66666667,39,4,4,2,4,4,3,4,3,2,1,1,4,3,4,2,4,4,4,4,3,1,NA,4,4
197,1,8,11,19,25,38,4,4,2,4,4,3,4,3,2,3,2,3,4,4,2,4,4,4,4,2,1,3,3,3
198,1,8,12,19,22,39,4,3,3,4,4,3,4,1,1,2,1,3,4,4,3,3,3,4,4,3,1,3,3,4
199,1,14,11,19,26,44,3,4,4,4,3,4,4,3,3,3,2,4,4,4,2,4,4,3,4,3,3,3,4,4
200,1,5,8,14,22,27,4,3,1,4,3,4,3,3,1,2,1,1,3,3,1,3,4,3,4,2,2,2,1,4
201,1,9,10,18,24,37,4,4,3,4,3,3,4,3,2,2,2,2,4,3,2,3,3,4,4,3,2,3,3,3
202,1,15,12,19,18,46,4,2,4,4,4,3,4,2,4,3,3,4,3,4,2,2,2,3,3,3,3,3,4,3
203,1,14,16,20,21,50,3,1,4,4,4,4,4,4,4,4,1,3,4,4,4,2,2,4,4,4,3,2,4,4
204,1,12,15,20,16,47,4,2,3,4,4,4,4,2,3,4,2,3,4,4,3,3,4,4,2,4,3,1,4,2
