id,assess,drive,funseek,responsiv,bis,bas,basbis1,basbis2,basbis3,basbis4,basbis5,basbis6,basbis7,basbis8,basbis9,basbis10,basbis11,basbis12,basbis13,basbis14,basbis15,basbis16,basbis17,basbis18,basbis19,basbis20,basbis21,basbis22,basbis23,basbis24
296,1,10,13,15,19,38,4,2,1,2,3,1,3,3,3,3,2,3,3,3,3,3,4,3,3,4,3,2,4,3
297,1,8,11,16,16,35,4,2,2,3,3,3,3,4,2,2,1,2,1,3,2,1,4,3,4,4,2,1,4,3
298,1,10,10,16,21,36,4,4,3,3,4,3,4,3,2,2,2,3,3,2,2,4,4,3,2,2,2,3,4,2
299,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,1,11,10,18,26,39,4,4,3,4,3,4,4,3,3,2,2,3,4,4,2,4,3,3,4,3,2,3,3,4
302,1,14,13,19,22,46,4,2,3,3,3,3,4,3,4,2,2,3,3,4,4,3,2,4,4,4,4,3,4,4
303,1,9,13,17,21,39,4,3,2,4,4,4,4,4,2,3,2,3,3,3,3,2,4,3,3,3,2,3,3,3
305,1,12,13,20,28,45,4,4,3,4,4,4,4,4,3,4,3,3,4,4,1,4,4,4,4,4,3,4,4,4
306,1,13,10,20,18,43,3,1,4,4,3,3,4,2,3,1,2,4,3,4,3,2,2,4,3,3,2,3,4,4
307,1,8,11,14,20,33,4,2,2,3,3,3,3,3,2,2,2,2,4,3,3,3,3,2,3,3,2,2,3,3
308,1,9,12,17,13,38,3,1,1,3,3,3,3,1,1,2,2,4,2,4,3,4,3,3,2,4,3,2,4,1
309,1,14,16,18,23,48,4,2,4,4,4,2,4,3,4,4,2,4,3,4,4,4,3,3,4,4,2,3,3,4
310,1,12,13,17,18,42,4,2,4,4,4,3,4,2,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3
370,1,11,13,18,19,42,4,4,3,4,4,3,4,2,3,2,3,3,1,2,4,3,2,4,4,3,2,2,4,3
371,1,10,14,20,27,44,4,4,2,4,4,3,4,3,3,4,4,3,4,4,2,4,4,4,4,4,2,4,4,4
372,1,11,13,20,20,44,3,3,3,4,3,2,4,2,3,3,3,2,3,4,3,2,4,4,4,4,3,3,4,3
373,1,6,10,14,23,30,4,4,2,4,3,3,3,2,1,3,2,2,3,2,1,3,3,2,4,3,1,3,3,4
374,1,9,12,19,22,40,3,4,3,4,4,3,4,2,2,2,1,2,4,3,2,1,4,4,4,4,2,3,4,4
375,1,16,14,17,20,47,3,4,4,3,3,3,4,3,4,4,4,4,2,3,3,1,4,3,4,4,4,2,4,4
376,1,11,13,17,25,41,4,2,2,3,3,2,4,4,3,3,3,3,4,4,3,4,4,3,4,4,3,3,3,4
377,1,12,13,16,18,41,4,1,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
378,1,11,10,18,22,39,4,2,2,3,3,2,4,4,3,2,3,3,4,4,3,2,3,3,4,2,3,3,4,3
379,1,9,12,19,23,40,3,2,2,3,4,3,4,4,2,2,2,3,3,4,3,3,4,4,4,3,2,3,4,4
380,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,1,12,14,15,17,41,3,2,4,3,4,3,3,3,3,3,3,2,3,3,3,2,2,3,3,4,3,1,3,3
349,1,16,15,19,25,50,4,3,4,4,4,3,4,3,4,4,3,4,4,4,3,4,3,3,4,4,4,3,4,4
350,1,13,14,17,18,44,4,2,4,4,4,4,4,2,3,4,2,3,3,3,3,3,3,3,3,3,3,2,3,3
351,1,13,14,19,20,46,4,3,4,4,4,4,4,3,3,4,3,4,2,3,3,3,2,4,3,3,2,2,4,4
352,1,11,10,15,22,36,3,4,2,4,3,2,3,2,3,2,2,3,3,2,3,3,4,3,4,2,3,3,3,3
353,1,10,13,16,19,39,3,3,3,3,3,2,3,1,2,3,3,2,3,3,3,3,4,3,4,4,3,2,4,3
354,1,8,12,18,16,38,3,1,2,4,4,2,4,3,4,3,4,1,4,4,4,4,1,3,1,1,1,2,3,1
355,1,9,12,19,21,40,4,3,2,4,4,3,4,1,3,2,1,2,3,4,2,3,3,3,4,4,2,3,4,4
356,1,12,12,15,19,39,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
357,1,12,15,18,19,45,3,3,3,4,4,3,4,1,3,4,1,3,2,3,3,3,4,3,4,4,3,2,4,4
358,1,9,8,19,26,36,4,3,4,4,3,2,4,4,1,2,2,3,4,4,1,4,4,4,4,2,1,3,3,4
359,1,15,16,20,19,51,1,3,4,4,4,4,4,3,4,4,2,4,3,4,4,2,4,4,3,4,3,1,4,4
360,1,11,13,19,24,43,4,4,3,4,4,3,4,2,3,3,1,3,4,4,3,3,2,3,4,3,2,3,4,4
361,1,10,12,18,16,40,4,2,3,3,3,3,4,1,3,3,2,2,2,4,2,2,3,4,3,4,2,3,3,3
362,1,16,15,20,24,51,4,3,4,4,4,4,4,4,4,4,1,4,4,4,3,3,4,4,4,4,4,2,4,4
363,1,13,12,20,25,45,4,3,3,4,4,3,4,4,3,1,3,4,4,4,3,3,3,4,4,4,3,3,4,4
364,1,11,11,20,18,42,2,4,3,4,4,4,4,2,3,1,3,3,2,4,3,2,4,4,3,3,2,3,4,2
365,1,8,9,11,21,28,4,1,2,3,2,3,2,3,2,3,2,2,4,2,2,2,4,2,4,2,2,3,2,4
366,1,7,7,12,27,26,4,4,3,3,3,2,3,3,2,1,1,1,4,3,2,4,3,2,4,1,1,4,1,4
367,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,1,8,10,15,22,33,3,3,1,3,3,3,3,3,3,2,2,2,4,3,2,3,4,3,3,3,2,3,3,3
369,1,12,12,19,21,43,3,3,3,4,4,3,4,3,2,1,2,3,2,3,3,2,4,4,4,4,4,3,4,4
312,1,14,11,18,18,43,4,3,3,4,4,3,4,2,4,2,3,4,2,3,3,2,3,3,4,2,3,1,4,4
313,1,10,13,18,18,41,4,2,2,4,4,3,4,2,3,2,2,3,4,4,3,2,3,3,3,4,2,3,3,2
314,1,16,9,17,22,42,4,2,4,4,2,3,4,3,4,2,3,4,4,4,3,3,4,3,4,2,4,2,2,4
315,1,15,14,17,17,46,4,1,4,3,4,3,4,3,4,4,2,3,2,3,2,2,4,3,4,4,4,1,4,4
316,1,8,10,15,23,33,3,2,2,3,3,4,3,4,2,2,1,2,4,3,2,2,3,3,3,3,2,4,3,4
317,1,9,14,19,19,42,3,3,3,4,4,4,4,1,2,3,3,2,3,4,3,3,4,3,4,4,2,2,4,3
318,1,12,10,18,21,40,3,3,4,4,4,3,4,3,3,2,1,3,4,3,1,1,3,3,4,3,2,2,4,4
319,1,15,15,20,23,50,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,3,3,4,4,3,3,2,4,4
320,1,14,13,20,25,47,4,4,4,4,3,4,4,3,4,3,2,3,3,4,3,3,3,4,4,4,3,4,4,4
321,1,14,14,20,21,48,3,4,3,4,4,1,4,2,4,3,4,4,2,4,3,2,4,4,4,4,3,3,4,4
311,1,15,14,20,23,49,4,3,4,4,4,4,4,3,4,4,3,4,4,4,3,3,4,4,4,3,3,2,4,4
322,1,13,11,20,20,44,3,3,4,4,3,4,4,2,4,4,2,3,3,4,2,3,4,4,4,2,2,2,4,3
323,1,12,7,16,24,35,3,4,3,3,3,3,4,4,3,1,2,3,4,3,1,2,1,3,4,2,3,3,3,3
324,1,12,8,20,27,40,4,4,3,4,2,4,4,4,3,3,3,4,3,4,1,4,4,4,4,2,2,4,4,4
325,1,14,14,20,24,48,4,3,4,4,4,3,4,3,4,2,2,4,4,4,4,3,3,4,4,4,2,3,4,4
326,1,12,14,20,27,46,4,4,3,4,4,3,4,4,3,3,3,3,4,4,3,4,4,4,4,4,3,3,4,4
327,1,11,9,18,21,38,3,3,3,4,3,3,4,3,3,2,3,3,3,3,1,3,2,3,4,3,2,2,4,3
328,1,8,10,17,22,35,3,3,2,4,2,2,3,3,2,2,2,2,3,3,3,3,3,4,4,3,2,3,3,3
329,1,10,12,16,22,38,4,2,3,3,3,2,3,3,1,3,1,3,4,3,3,3,2,3,4,3,3,3,4,3
330,1,14,11,18,26,43,4,4,4,4,4,4,4,4,4,3,2,4,4,4,2,2,3,3,4,2,2,4,3,4
331,1,12,11,20,28,43,4,4,3,4,3,4,4,4,3,2,1,3,4,4,3,4,4,4,4,3,3,4,4,4
332,1,15,15,17,18,47,4,1,4,4,4,3,3,3,4,3,3,3,3,3,4,3,3,3,3,4,4,1,4,4
333,1,8,11,18,21,37,4,4,2,4,3,3,4,3,2,3,1,2,2,3,2,2,4,3,4,3,2,3,4,3
334,1,14,15,19,20,48,4,3,4,4,4,4,4,2,4,4,2,3,3,4,3,3,4,3,4,4,3,2,4,3
335,1,14,14,19,19,47,4,1,3,4,4,4,4,2,4,4,4,4,3,3,3,4,4,4,4,3,3,2,4,3
336,1,11,10,19,22,40,4,4,4,4,3,2,4,2,2,3,3,3,2,3,1,2,4,4,4,3,2,4,4,4
337,1,8,8,15,22,31,4,3,2,3,2,2,3,4,2,2,1,2,3,3,2,2,4,3,4,2,2,3,3,3
338,1,9,12,16,22,37,3,4,3,4,3,3,3,3,2,3,2,3,3,3,3,3,3,3,4,3,1,2,3,3
339,1,11,13,19,22,43,4,3,3,4,3,4,4,3,3,3,2,3,3,4,3,2,3,3,4,4,2,3,4,4
340,1,13,11,19,24,43,4,3,3,4,4,3,4,4,4,3,2,3,3,4,2,4,4,3,4,2,3,2,4,4
341,1,11,12,19,26,42,4,3,3,4,3,3,4,4,3,2,2,3,4,4,3,3,3,4,4,4,2,4,3,4
342,1,12,12,15,19,39,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
343,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,1,12,13,19,24,44,3,4,3,4,3,3,4,3,3,3,2,3,4,3,3,3,4,4,4,4,3,3,4,3
345,1,10,11,18,21,39,3,3,3,4,3,3,4,2,2,3,2,3,3,3,2,3,2,3,4,3,2,2,4,4
346,1,10,13,20,26,43,4,3,2,4,4,4,4,4,3,3,1,3,4,4,3,4,4,4,4,3,2,3,4,4
347,1,12,9,17,26,38,2,4,4,4,3,4,4,4,3,1,1,3,4,3,2,3,2,3,4,3,2,3,3,4
348,1,12,7,12,18,31,3,3,3,3,2,2,3,2,3,1,1,3,2,2,2,2,3,2,4,2,3,2,2,3
