id,assess,starttime,finishtime
1,3,10-Oct-10,10-Oct-10
2,3,10-Oct-10,10-Oct-10
4,3,10-Oct-10,10-Oct-10
5,3,10-Oct-10,10-Oct-10
6,3,13-Oct-10,13-Oct-10
7,3,11-Oct-10,11-Oct-10
8,3,10-Oct-10,10-Oct-10
9,3,10-Oct-10,13-Oct-10
10,3,10-Oct-10,13-Oct-10
11,3,10-Oct-10,10-Oct-10
12,3,13-Oct-10,13-Oct-10
13,3,10-Oct-10,10-Oct-10
14,3,12-Oct-10,12-Oct-10
15,3,12-Oct-10,12-Oct-10
16,3,10-Oct-10,10-Oct-10
17,3,10-Oct-10,10-Oct-10
18,3,10-Oct-10,10-Oct-10
19,3,10-Oct-10,10-Oct-10
20,3,10-Oct-10,10-Oct-10
21,3,10-Oct-10,10-Oct-10
22,3,10-Oct-10,10-Oct-10
23,3,10-Oct-10,10-Oct-10
24,3,10-Oct-10,10-Oct-10
25,3,10-Oct-10,10-Oct-10
26,3,10-Oct-10,10-Oct-10
27,3,11-Oct-10,11-Oct-10
28,3,10-Oct-10,10-Oct-10
30,3,10-Oct-10,10-Oct-10
31,3,13-Oct-10,13-Oct-10
32,3,10-Oct-10,13-Oct-10
33,3,13-Oct-10,13-Oct-10
34,3,10-Oct-10,10-Oct-10
35,3,13-Oct-10,13-Oct-10
36,3,10-Oct-10,10-Oct-10
37,3,10-Oct-10,10-Oct-10
38,3,10-Oct-10,10-Oct-10
39,3,10-Oct-10,10-Oct-10
40,3,10-Oct-10,10-Oct-10
41,3,10-Oct-10,11-Oct-10
42,3,10-Oct-10,10-Oct-10
43,3,10-Oct-10,10-Oct-10
44,3,10-Oct-10,10-Oct-10
45,3,11-Oct-10,11-Oct-10
46,3,11-Oct-10,11-Oct-10
47,3,10-Oct-10,13-Oct-10
48,3,10-Oct-10,10-Oct-10
49,3,10-Oct-10,10-Oct-10
50,3,10-Oct-10,10-Oct-10
51,3,10-Oct-10,10-Oct-10
52,3,11-Oct-10,11-Oct-10
53,3,10-Oct-10,10-Oct-10
54,3,10-Oct-10,10-Oct-10
55,3,10-Oct-10,10-Oct-10
56,3,10-Oct-10,10-Oct-10
57,3,13-Oct-10,13-Oct-10
59,3,10-Oct-10,10-Oct-10
60,3,10-Oct-10,11-Oct-10
61,3,10-Oct-10,10-Oct-10
62,3,10-Oct-10,10-Oct-10
63,3,10-Oct-10,10-Oct-10
64,3,10-Oct-10,10-Oct-10
65,3,10-Oct-10,10-Oct-10
66,3,13-Oct-10,13-Oct-10
67,3,10-Oct-10,12-Oct-10
