id,assess,starttime,finishtime
311,5,11-Dec-11,11-Dec-11
312,5,11-Dec-11,11-Dec-11
313,5,,
314,5,13-Dec-11,13-Dec-11
315,5,11-Dec-11,11-Dec-11
316,5,13-Dec-11,13-Dec-11
317,5,14-Dec-11,14-Dec-11
318,5,11-Dec-11,11-Dec-11
319,5,13-Dec-11,13-Dec-11
320,5,,
321,5,11-Dec-11,11-Dec-11
322,5,11-Dec-11,11-Dec-11
323,5,,
324,5,11-Dec-11,11-Dec-11
325,5,14-Dec-11,15-Dec-11
326,5,13-Dec-11,13-Dec-11
327,5,11-Dec-11,11-Dec-11
328,5,13-Dec-11,13-Dec-11
329,5,14-Dec-11,14-Dec-11
330,5,11-Dec-11,11-Dec-11
331,5,11-Dec-11,11-Dec-11
332,5,11-Dec-11,11-Dec-11
333,5,11-Dec-11,11-Dec-11
334,5,12-Dec-11,12-Dec-11
335,5,11-Dec-11,11-Dec-11
336,5,,
337,5,11-Dec-11,11-Dec-11
338,5,11-Dec-11,11-Dec-11
339,5,11-Dec-11,12-Dec-11
340,5,12-Dec-11,12-Dec-11
341,5,11-Dec-11,11-Dec-11
342,5,11-Dec-11,11-Dec-11
343,5,11-Dec-11,11-Dec-11
344,5,11-Dec-11,11-Dec-11
345,5,12-Dec-11,12-Dec-11
346,5,11-Dec-11,11-Dec-11
347,5,11-Dec-11,11-Dec-11
348,5,11-Dec-11,11-Dec-11
349,5,11-Dec-11,11-Dec-11
350,5,11-Dec-11,11-Dec-11
351,5,11-Dec-11,11-Dec-11
352,5,11-Dec-11,11-Dec-11
353,5,11-Dec-11,11-Dec-11
354,5,11-Dec-11,11-Dec-11
355,5,11-Dec-11,11-Dec-11
356,5,14-Dec-11,14-Dec-11
357,5,12-Dec-11,12-Dec-11
358,5,11-Dec-11,11-Dec-11
359,5,11-Dec-11,11-Dec-11
360,5,12-Dec-11,12-Dec-11
361,5,11-Dec-11,11-Dec-11
362,5,13-Dec-11,13-Dec-11
363,5,11-Dec-11,11-Dec-11
364,5,11-Dec-11,11-Dec-11
365,5,11-Dec-11,11-Dec-11
366,5,11-Dec-11,11-Dec-11
367,5,,
368,5,12-Dec-11,12-Dec-11
369,5,11-Dec-11,11-Dec-11
370,5,18-Dec-11,18-Dec-11
371,5,11-Dec-11,11-Dec-11
372,5,11-Dec-11,11-Dec-11
373,5,11-Dec-11,11-Dec-11
374,5,11-Dec-11,11-Dec-11
375,5,11-Dec-11,11-Dec-11
376,5,11-Dec-11,11-Dec-11
377,5,11-Dec-11,11-Dec-11
378,5,,
379,5,13-Dec-11,13-Dec-11
380,5,,
381,5,11-Dec-11,14-Dec-11
