id,assess,starttime,finishtime
1,1,29-Aug-10,29-Aug-10
2,1,23-Aug-10,23-Aug-10
3,1,23-Aug-10,23-Aug-10
5,1,23-Aug-10,23-Aug-10
4,1,22-Aug-10,22-Aug-10
6,1,23-Aug-10,23-Aug-10
7,1,22-Aug-10,22-Aug-10
8,1,22-Aug-10,22-Aug-10
9,1,22-Aug-10,22-Aug-10
10,1,29-Aug-10,29-Aug-10
11,1,22-Aug-10,22-Aug-10
12,1,22-Aug-10,22-Aug-10
13,1,22-Aug-10,22-Aug-10
14,1,29-Aug-10,29-Aug-10
15,1,22-Aug-10,22-Aug-10
16,1,22-Aug-10,22-Aug-10
17,1,22-Aug-10,22-Aug-10
18,1,29-Aug-10,29-Aug-10
19,1,22-Aug-10,22-Aug-10
20,1,23-Aug-10,23-Aug-10
21,1,1-Sep-10,1-Sep-10
22,1,22-Aug-10,22-Aug-10
23,1,23-Aug-10,23-Aug-10
24,1,22-Aug-10,22-Aug-10
25,1,24-Aug-10,24-Aug-10
26,1,,
27,1,23-Aug-10,23-Aug-10
28,1,25-Aug-10,25-Aug-10
29,1,29-Aug-10,29-Aug-10
30,1,30-Aug-10,30-Aug-10
33,1,30-Aug-10,30-Aug-10
32,1,29-Aug-10,29-Aug-10
31,1,29-Aug-10,29-Aug-10
34,1,22-Aug-10,22-Aug-10
35,1,30-Aug-10,30-Aug-10
36,1,29-Aug-10,29-Aug-10
37,1,24-Aug-10,24-Aug-10
38,1,29-Aug-10,29-Aug-10
39,1,22-Aug-10,22-Aug-10
40,1,23-Aug-10,23-Aug-10
41,1,22-Aug-10,22-Aug-10
42,1,22-Aug-10,22-Aug-10
43,1,22-Aug-10,22-Aug-10
44,1,22-Aug-10,22-Aug-10
45,1,29-Aug-10,30-Aug-10
46,1,23-Aug-10,23-Aug-10
47,1,22-Aug-10,23-Aug-10
48,1,24-Aug-10,24-Aug-10
49,1,22-Aug-10,22-Aug-10
50,1,22-Aug-10,23-Aug-10
51,1,22-Aug-10,22-Aug-10
52,1,22-Aug-10,22-Aug-10
53,1,29-Aug-10,29-Aug-10
54,1,23-Aug-10,23-Aug-10
55,1,23-Aug-10,23-Aug-10
56,1,22-Aug-10,22-Aug-10
57,1,29-Aug-10,29-Aug-10
58,1,23-Aug-10,23-Aug-10
59,1,22-Aug-10,22-Aug-10
60,1,30-Aug-10,30-Aug-10
61,1,22-Aug-10,23-Aug-10
62,1,22-Aug-10,22-Aug-10
63,1,29-Aug-10,29-Aug-10
64,1,22-Aug-10,22-Aug-10
65,1,23-Aug-10,23-Aug-10
66,1,22-Aug-10,22-Aug-10
67,1,22-Aug-10,23-Aug-10
68,1,22-Aug-10,22-Aug-10
69,1,23-Aug-10,23-Aug-10
70,1,29-Aug-10,29-Aug-10
71,1,31-Aug-10,31-Aug-10
72,1,,
73,1,22-Aug-10,22-Aug-10
74,1,22-Aug-10,22-Aug-10
75,1,31-Aug-10,31-Aug-10
76,1,22-Aug-10,23-Aug-10
77,1,22-Aug-10,22-Aug-10
78,1,23-Aug-10,23-Aug-10
79,1,24-Aug-10,24-Aug-10
80,1,24-Aug-10,24-Aug-10
81,1,23-Aug-10,23-Aug-10
82,1,22-Aug-10,22-Aug-10
83,1,,
84,1,22-Aug-10,22-Aug-10
85,1,23-Aug-10,23-Aug-10
86,1,30-Aug-10,30-Aug-10
87,1,,
88,1,22-Aug-10,22-Aug-10
89,1,30-Aug-10,30-Aug-10
90,1,31-Aug-10,31-Aug-10
91,1,22-Aug-10,22-Aug-10
92,1,22-Aug-10,24-Aug-10
93,1,22-Aug-10,22-Aug-10
94,1,29-Aug-10,29-Aug-10
95,1,31-Aug-10,31-Aug-10
96,1,29-Aug-10,29-Aug-10
97,1,31-Aug-10,31-Aug-10
