id,assess,starttime,finishtime
311,4,14-Nov-11,14-Nov-11
312,4,13-Nov-11,13-Nov-11
313,4,13-Nov-11,13-Nov-11
314,4,13-Nov-11,13-Nov-11
315,4,13-Nov-11,13-Nov-11
316,4,,
317,4,13-Nov-11,13-Nov-11
318,4,13-Nov-11,13-Nov-11
319,4,13-Nov-11,13-Nov-11
320,4,13-Nov-11,13-Nov-11
321,4,13-Nov-11,13-Nov-11
322,4,13-Nov-11,13-Nov-11
323,4,16-Nov-11,16-Nov-11
324,4,13-Nov-11,13-Nov-11
325,4,16-Nov-11,16-Nov-11
326,4,13-Nov-11,13-Nov-11
327,4,13-Nov-11,13-Nov-11
328,4,16-Nov-11,16-Nov-11
329,4,16-Nov-11,16-Nov-11
330,4,13-Nov-11,13-Nov-11
331,4,13-Nov-11,13-Nov-11
332,4,,
333,4,16-Nov-11,16-Nov-11
334,4,16-Nov-11,16-Nov-11
335,4,13-Nov-11,13-Nov-11
336,4,,
337,4,13-Nov-11,13-Nov-11
338,4,13-Nov-11,13-Nov-11
339,4,13-Nov-11,13-Nov-11
340,4,17-Nov-11,19-Nov-11
341,4,13-Nov-11,13-Nov-11
342,4,16-Nov-11,16-Nov-11
343,4,13-Nov-11,13-Nov-11
344,4,13-Nov-11,13-Nov-11
345,4,14-Nov-11,14-Nov-11
346,4,14-Nov-11,14-Nov-11
347,4,13-Nov-11,13-Nov-11
348,4,13-Nov-11,13-Nov-11
349,4,15-Nov-11,15-Nov-11
350,4,13-Nov-11,13-Nov-11
351,4,13-Nov-11,13-Nov-11
352,4,13-Nov-11,13-Nov-11
353,4,13-Nov-11,13-Nov-11
354,4,14-Nov-11,14-Nov-11
355,4,14-Nov-11,15-Nov-11
356,4,13-Nov-11,13-Nov-11
357,4,13-Nov-11,13-Nov-11
358,4,13-Nov-11,13-Nov-11
359,4,15-Nov-11,15-Nov-11
360,4,13-Nov-11,13-Nov-11
361,4,13-Nov-11,13-Nov-11
362,4,14-Nov-11,14-Nov-11
363,4,13-Nov-11,13-Nov-11
364,4,16-Nov-11,16-Nov-11
365,4,14-Nov-11,14-Nov-11
366,4,13-Nov-11,13-Nov-11
367,4,,
368,4,13-Nov-11,13-Nov-11
369,4,13-Nov-11,13-Nov-11
370,4,,
371,4,15-Nov-11,15-Nov-11
372,4,13-Nov-11,13-Nov-11
373,4,13-Nov-11,13-Nov-11
374,4,13-Nov-11,13-Nov-11
375,4,13-Nov-11,13-Nov-11
376,4,16-Nov-11,16-Nov-11
377,4,13-Nov-11,13-Nov-11
378,4,,
379,4,15-Nov-11,15-Nov-11
380,4,,
381,4,15-Nov-11,15-Nov-11
