id,assess,starttime,finishtime
311,2,20-Sep-11,20-Sep-11
312,2,18-Sep-11,18-Sep-11
313,2,20-Sep-11,20-Sep-11
314,2,18-Sep-11,18-Sep-11
315,2,17-Sep-11,18-Sep-11
316,2,,
317,2,18-Sep-11,18-Sep-11
318,2,18-Sep-11,18-Sep-11
319,2,20-Sep-11,20-Sep-11
320,2,21-Sep-11,21-Sep-11
321,2,18-Sep-11,18-Sep-11
322,2,18-Sep-11,18-Sep-11
323,2,21-Sep-11,21-Sep-11
324,2,18-Sep-11,18-Sep-11
325,2,17-Sep-11,18-Sep-11
326,2,18-Sep-11,18-Sep-11
327,2,18-Sep-11,18-Sep-11
328,2,21-Sep-11,21-Sep-11
329,2,21-Sep-11,21-Sep-11
330,2,19-Sep-11,19-Sep-11
331,2,18-Sep-11,18-Sep-11
332,2,,
333,2,,
334,2,18-Sep-11,18-Sep-11
335,2,18-Sep-11,18-Sep-11
336,2,,
337,2,19-Sep-11,19-Sep-11
338,2,18-Sep-11,18-Sep-11
339,2,18-Sep-11,18-Sep-11
340,2,18-Sep-11,25-Sep-11
341,2,18-Sep-11,18-Sep-11
342,2,18-Sep-11,18-Sep-11
343,2,18-Sep-11,18-Sep-11
344,2,18-Sep-11,18-Sep-11
345,2,20-Sep-11,20-Sep-11
346,2,19-Sep-11,19-Sep-11
347,2,18-Sep-11,18-Sep-11
348,2,18-Sep-11,18-Sep-11
349,2,20-Sep-11,20-Sep-11
350,2,20-Sep-11,20-Sep-11
351,2,18-Sep-11,18-Sep-11
352,2,18-Sep-11,19-Sep-11
353,2,18-Sep-11,18-Sep-11
354,2,18-Sep-11,18-Sep-11
355,2,18-Sep-11,18-Sep-11
356,2,18-Sep-11,18-Sep-11
357,2,18-Sep-11,18-Sep-11
358,2,18-Sep-11,18-Sep-11
359,2,17-Sep-11,18-Sep-11
360,2,18-Sep-11,18-Sep-11
361,2,18-Sep-11,18-Sep-11
362,2,18-Sep-11,18-Sep-11
363,2,18-Sep-11,18-Sep-11
364,2,18-Sep-11,18-Sep-11
365,2,18-Sep-11,18-Sep-11
366,2,18-Sep-11,18-Sep-11
367,2,,
368,2,20-Sep-11,20-Sep-11
369,2,18-Sep-11,18-Sep-11
370,2,19-Sep-11,19-Sep-11
371,2,18-Sep-11,18-Sep-11
372,2,18-Sep-11,18-Sep-11
373,2,18-Sep-11,18-Sep-11
374,2,20-Sep-11,20-Sep-11
375,2,18-Sep-11,18-Sep-11
376,2,18-Sep-11,18-Sep-11
377,2,20-Sep-11,20-Sep-11
378,2,,
379,2,18-Sep-11,18-Sep-11
380,2,,
381,2,18-Sep-11,18-Sep-11
